Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
106.9205 -0.8638 1.9387 -5.9490 -7.0235 -0.1310 0.0011 0.0640 -0.2761 -0.1211 0.5938 -0.7577 0.1352 0.99 dia F
-13.5670 -1.1325 -1.7078 28.8607 -81.1719 0.4118 0.0003 -0.0263 0.0507 -0.0087 -0.1202 0.2977 -0.2691 0.01 dia M
-43.7777 1.9512 -3.8763 28.8717 -57.6407 0.4741 -0.0029 -0.0496 0.1518 -0.0191 0.1992 -0.2879 0.0508 0.02 dia M
-35.5221 1.6542 -3.2001 22.4882 -41.2990 0.4425 -0.0025 -0.0428 0.1269 -0.0674 0.3133 -0.4650 0.1062 0.03 dia M
-25.9772 2.0924 -3.8188 24.4956 -38.8551 0.3556 0.0003 -0.0543 0.1499 -0.0796 0.4423 -0.7299 0.2906 0.04 dia M
-16.9931 2.2497 -3.7873 23.1323 -35.1791 0.2916 0.0006 -0.0481 0.1416 -0.0641 0.3962 -0.6572 0.2638 0.05 dia M
-19.6683 2.3137 -3.7117 22.8638 -35.7152 0.3203 -0.0015 -0.0388 0.1406 -0.0689 0.4499 -0.7699 0.3469 0.06 dia M
-33.2858 2.7679 -4.0941 22.3138 -27.6548 0.3986 -0.0021 -0.0592 0.2053 -0.0938 0.6243 -1.0803 0.5056 0.07 dia M
-42.5220 3.0229 -4.2155 22.1584 -27.6854 0.4632 -0.0051 -0.0392 0.1567 -0.0631 0.5120 -0.8671 0.3759 0.08 dia M
-34.2517 2.7721 -3.6109 17.4453 -15.4161 0.4233 -0.0055 -0.0269 0.1286 -0.0371 0.3660 -0.6077 0.2427 0.09 dia M
-42.4833 3.1554 -3.8233 16.9605 -12.0012 0.4660 -0.0072 -0.0191 0.1105 -0.0294 0.3572 -0.5855 0.2225 0.1 dia M
-54.4375 3.0764 -3.5785 15.2542 -9.8518 0.5690 -0.0112 -0.0014 0.0879 -0.0340 0.4004 -0.6627 0.2631 0.11 dia M
-38.5925 2.3768 -3.1326 15.4931 -14.1216 0.5015 -0.0094 0.0059 0.0528 -0.0475 0.3550 -0.5818 0.2245 0.12 dia M
-40.8119 2.5241 -3.3547 16.1453 -12.9930 0.5119 -0.0092 0.0039 0.0554 -0.0504 0.3968 -0.6637 0.2771 0.13 dia M
-46.3014 2.6717 -3.5156 16.4588 -11.9729 0.5495 -0.0106 0.0106 0.0468 -0.0493 0.4299 -0.7314 0.3246 0.14 dia M
-47.6314 2.9586 -3.7580 16.7192 -10.3567 0.5434 -0.0102 0.0067 0.0518 -0.0595 0.4837 -0.8241 0.3686 0.15 dia M
-41.6665 2.9392 -3.8754 17.5857 -10.8233 0.4983 -0.0073 -0.0149 0.0964 -0.0817 0.5737 -0.9870 0.4563 0.16 dia M
-45.7369 2.9396 -3.8633 17.2310 -10.5610 0.5321 -0.0080 -0.0146 0.1016 -0.0765 0.5824 -1.0084 0.4748 0.17 dia M
-51.9290 2.9378 -3.7832 15.9238 -7.0752 0.5860 -0.0101 -0.0013 0.0747 -0.0647 0.5498 -0.9515 0.4469 0.18 dia M
-45.8559 3.0516 -3.9216 17.0729 -10.1336 0.5356 -0.0086 -0.0063 0.0786 -0.0616 0.5196 -0.8956 0.4150 0.19 dia M
-39.5605 2.8551 -3.5847 14.9465 -5.3128 0.5025 -0.0082 -0.0030 0.0687 -0.0683 0.5134 -0.8848 0.4109 0.2 dia M
-33.7657 2.9223 -3.5330 14.1257 -2.6863 0.4575 -0.0075 -0.0012 0.0596 -0.0664 0.4876 -0.8388 0.3872 0.21 dia M
-32.2810 2.6018 -3.2278 12.8399 -0.8793 0.4720 -0.0081 0.0063 0.0419 -0.0620 0.4496 -0.7751 0.3605 0.22 dia M
-31.5797 2.3929 -2.9101 11.2038 1.5782 0.4845 -0.0091 0.0143 0.0265 -0.0586 0.4152 -0.7120 0.3258 0.23 dia M
-32.2816 2.6349 -3.0487 11.5875 0.5188 0.4779 -0.0097 0.0203 0.0104 -0.0440 0.3694 -0.6297 0.2818 0.24 dia M
